config,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,fnr,roc_auc_ci_lo,roc_auc_ci_hi,n
channel_a_only,0.4772221705910215,0.5986377814648021,0.58176434568701,0.6252980298657297,0.6041913131654555,0.8473571936477838,0.7054064719810577,0.6245333333333334,0.15264280635221616,0.5860382725310835,0.6113241999292205,7969
channel_b_only,0.6212577982268059,0.8580390297858893,0.8678446984906947,0.7762579997490274,0.8283018867924529,0.7283716520502489,0.7751292722915878,0.16986666666666667,0.2716283479497511,0.8505381017796629,0.8661405048428602,7969
naive_mean_fusion,0.5398508733466143,0.8463715572410524,0.8386222178832677,0.7780148073785921,0.7926421404682275,0.7864422849016355,0.7895300416418798,0.23146666666666665,0.21355771509836455,0.838028129527593,0.8548042561831141,7969
naive_max_fusion,0.6429315773435872,0.8343817966342735,0.8556495168685158,0.7717404944158615,0.8296703296703297,0.715809433515051,0.7685456164906477,0.16533333333333333,0.28419056648494906,0.8259271590119851,0.8426561144319726,7969
dgad_no_escalation,0.5406440364099472,0.8055940586236865,0.8055615473096719,0.7288241937507843,0.7748397435897436,0.6876036975586632,0.7286198668843401,0.2248,0.3123963024413368,0.7968557930030516,0.8139688277844149,7969
dgad_offset,0.5391613054085522,0.7438029232835585,0.7551066533309221,0.6960722800853306,0.7596070499855533,0.6231334439440626,0.6846354166666667,0.22186666666666666,0.37686655605593744,0.7338531285214186,0.7534614125367012,7969
dgad_full,0.5391613054085522,0.7438029232835585,0.7551066533309221,0.6960722800853306,0.7596070499855533,0.6231334439440626,0.6846354166666667,0.22186666666666666,0.37686655605593744,0.7338531285214186,0.7534614125367012,7969
