configuration,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,fnr,roc_auc_ci_lo,roc_auc_ci_hi,n,notinject_fpr,escalation_rate
channel_a_features,0.6033799115631429,0.5862969605208315,0.6193330835518921,0.6068625661617083,0.7881014458402466,0.6857083934831925,0.5686378035902852,0.2118985541597535,0.5900382639997832,0.6164348227728192,8007,0.42105263157894735,
channel_b_minilm,0.8604207395868191,0.8692971705060948,0.7814412389159485,0.7866264221035524,0.803033894287746,0.7947454844006568,0.24260823653643082,0.1969661057122541,0.8528598542475118,0.8684739749650797,8007,0.39473684210526316,
naive_mean_ab,0.8520359574139517,0.8416369371198897,0.7823154739602848,0.7713722051731696,0.8340839061388955,0.8015032456440041,0.2753431890179514,0.16591609386110454,0.8443550592346376,0.8605090447008408,8007,0.42105263157894735,0.09054577244910703
naive_max_ab,0.836821684374979,0.8565961323924165,0.6842762582740103,0.6328358208955224,0.9547286086750415,0.7611489040060468,0.616948257655755,0.04527139132495852,0.8289092064038995,0.8454343967426756,8007,0.6578947368421053,
